cp	hex	char	name	category	eaw	cells	block	ghostty	used_face	packed_scale	packed_class	packed_density	packed_overflow_cells	packed_ink_width_cells	packed_raster	roomy_scale	roomy_class	roomy_density	roomy_overflow_cells	roomy_ink_width_cells	roomy_raster
53146	U+CF9A	쾚	HANGUL SYLLABLE KWAELP	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2670	0.0000	1.5405	.rasters/4x/packed/cf/cf9a.png	1.0000	wide	0.2670	0.0000	1.5405	.rasters/4x/roomy/cf/cf9a.png
53147	U+CF9B	쾛	HANGUL SYLLABLE KWAELH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2626	0.0000	1.5405	.rasters/4x/packed/cf/cf9b.png	1.0000	wide	0.2626	0.0000	1.5405	.rasters/4x/roomy/cf/cf9b.png
53148	U+CF9C	쾜	HANGUL SYLLABLE KWAEM	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2447	0.0000	1.5405	.rasters/4x/packed/cf/cf9c.png	1.0000	wide	0.2447	0.0000	1.5405	.rasters/4x/roomy/cf/cf9c.png
53149	U+CF9D	쾝	HANGUL SYLLABLE KWAEB	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2447	0.0000	1.5405	.rasters/4x/packed/cf/cf9d.png	1.0000	wide	0.2447	0.0000	1.5405	.rasters/4x/roomy/cf/cf9d.png
53150	U+CF9E	쾞	HANGUL SYLLABLE KWAEBS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2428	0.0000	1.5676	.rasters/4x/packed/cf/cf9e.png	1.0000	wide	0.2428	0.0000	1.5676	.rasters/4x/roomy/cf/cf9e.png
53151	U+CF9F	쾟	HANGUL SYLLABLE KWAES	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2072	0.0000	1.5946	.rasters/4x/packed/cf/cf9f.png	1.0000	wide	0.2072	0.0000	1.5946	.rasters/4x/roomy/cf/cf9f.png
53152	U+CFA0	쾠	HANGUL SYLLABLE KWAESS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2216	0.0000	1.5946	.rasters/4x/packed/cf/cfa0.png	1.0000	wide	0.2216	0.0000	1.5946	.rasters/4x/roomy/cf/cfa0.png
53153	U+CFA1	쾡	HANGUL SYLLABLE KWAENG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2361	0.0000	1.5676	.rasters/4x/packed/cf/cfa1.png	1.0000	wide	0.2361	0.0000	1.5676	.rasters/4x/roomy/cf/cfa1.png
53154	U+CFA2	쾢	HANGUL SYLLABLE KWAEJ	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2380	0.0000	1.5946	.rasters/4x/packed/cf/cfa2.png	1.0000	wide	0.2380	0.0000	1.5946	.rasters/4x/roomy/cf/cfa2.png
53155	U+CFA3	쾣	HANGUL SYLLABLE KWAEC	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2407	0.0000	1.5946	.rasters/4x/packed/cf/cfa3.png	1.0000	wide	0.2407	0.0000	1.5946	.rasters/4x/roomy/cf/cfa3.png
53156	U+CFA4	쾤	HANGUL SYLLABLE KWAEK	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2315	0.0000	1.5405	.rasters/4x/packed/cf/cfa4.png	1.0000	wide	0.2315	0.0000	1.5405	.rasters/4x/roomy/cf/cfa4.png
53157	U+CFA5	쾥	HANGUL SYLLABLE KWAET	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2642	0.0000	1.5676	.rasters/4x/packed/cf/cfa5.png	1.0000	wide	0.2642	0.0000	1.5676	.rasters/4x/roomy/cf/cfa5.png
53158	U+CFA6	쾦	HANGUL SYLLABLE KWAEP	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2430	0.0000	1.5946	.rasters/4x/packed/cf/cfa6.png	1.0000	wide	0.2430	0.0000	1.5946	.rasters/4x/roomy/cf/cfa6.png
53159	U+CFA7	쾧	HANGUL SYLLABLE KWAEH	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2418	0.0000	1.5405	.rasters/4x/packed/cf/cfa7.png	1.0000	wide	0.2418	0.0000	1.5405	.rasters/4x/roomy/cf/cfa7.png
53160	U+CFA8	쾨	HANGUL SYLLABLE KOE	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1620	0.0000	1.5135	.rasters/4x/packed/cf/cfa8.png	1.0000	wide	0.1620	0.0000	1.5135	.rasters/4x/roomy/cf/cfa8.png
53161	U+CFA9	쾩	HANGUL SYLLABLE KOEG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1843	0.0000	1.5676	.rasters/4x/packed/cf/cfa9.png	1.0000	wide	0.1843	0.0000	1.5676	.rasters/4x/roomy/cf/cfa9.png
53162	U+CFAA	쾪	HANGUL SYLLABLE KOEGG	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2018	0.0000	1.5676	.rasters/4x/packed/cf/cfaa.png	1.0000	wide	0.2018	0.0000	1.5676	.rasters/4x/roomy/cf/cfaa.png
53163	U+CFAB	쾫	HANGUL SYLLABLE KOEGS	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.2020	0.0000	1.6216	.rasters/4x/packed/cf/cfab.png	1.0000	wide	0.2020	0.0000	1.6216	.rasters/4x/roomy/cf/cfab.png
53164	U+CFAC	쾬	HANGUL SYLLABLE KOEN	Lo	W	2	Hangul Syllables	Arial Unicode MS	Arial Unicode MS	1.0000	wide	0.1930	0.0000	1.5676	.rasters/4x/packed/cf/cfac.png	1.0000	wide	0.1930	0.0000	1.5676	.rasters/4x/roomy/cf/cfac.png
