hex	char	cat	decimal	digit	numeric	name
U+1C45	᱅	Nd	5	5	5.0	LEPCHA DIGIT FIVE
U+1C46	᱆	Nd	6	6	6.0	LEPCHA DIGIT SIX
U+1C47	᱇	Nd	7	7	7.0	LEPCHA DIGIT SEVEN
U+1C48	᱈	Nd	8	8	8.0	LEPCHA DIGIT EIGHT
U+1C49	᱉	Nd	9	9	9.0	LEPCHA DIGIT NINE
U+1C50	᱐	Nd	0	0	0.0	OL CHIKI DIGIT ZERO
U+1C51	᱑	Nd	1	1	1.0	OL CHIKI DIGIT ONE
U+1C52	᱒	Nd	2	2	2.0	OL CHIKI DIGIT TWO
U+1C53	᱓	Nd	3	3	3.0	OL CHIKI DIGIT THREE
U+1C54	᱔	Nd	4	4	4.0	OL CHIKI DIGIT FOUR
U+1C55	᱕	Nd	5	5	5.0	OL CHIKI DIGIT FIVE
U+1C56	᱖	Nd	6	6	6.0	OL CHIKI DIGIT SIX
U+1C57	᱗	Nd	7	7	7.0	OL CHIKI DIGIT SEVEN
U+1C58	᱘	Nd	8	8	8.0	OL CHIKI DIGIT EIGHT
U+1C59	᱙	Nd	9	9	9.0	OL CHIKI DIGIT NINE
U+2070	⁰	No	None	0	0.0	SUPERSCRIPT ZERO
U+2074	⁴	No	None	4	4.0	SUPERSCRIPT FOUR
U+2075	⁵	No	None	5	5.0	SUPERSCRIPT FIVE
U+2076	⁶	No	None	6	6.0	SUPERSCRIPT SIX
U+2077	⁷	No	None	7	7.0	SUPERSCRIPT SEVEN
U+2078	⁸	No	None	8	8.0	SUPERSCRIPT EIGHT
U+2079	⁹	No	None	9	9.0	SUPERSCRIPT NINE
U+2080	₀	No	None	0	0.0	SUBSCRIPT ZERO
U+2081	₁	No	None	1	1.0	SUBSCRIPT ONE
U+2082	₂	No	None	2	2.0	SUBSCRIPT TWO
U+2083	₃	No	None	3	3.0	SUBSCRIPT THREE
U+2084	₄	No	None	4	4.0	SUBSCRIPT FOUR
U+2085	₅	No	None	5	5.0	SUBSCRIPT FIVE
U+2086	₆	No	None	6	6.0	SUBSCRIPT SIX
U+2087	₇	No	None	7	7.0	SUBSCRIPT SEVEN
U+2088	₈	No	None	8	8.0	SUBSCRIPT EIGHT
U+2089	₉	No	None	9	9.0	SUBSCRIPT NINE
U+2150	⅐	No	None	None	0.14285714285714285	VULGAR FRACTION ONE SEVENTH
U+2151	⅑	No	None	None	0.1111111111111111	VULGAR FRACTION ONE NINTH
U+2152	⅒	No	None	None	0.1	VULGAR FRACTION ONE TENTH
U+2153	⅓	No	None	None	0.3333333333333333	VULGAR FRACTION ONE THIRD
U+2154	⅔	No	None	None	0.6666666666666666	VULGAR FRACTION TWO THIRDS
U+2155	⅕	No	None	None	0.2	VULGAR FRACTION ONE FIFTH
U+2156	⅖	No	None	None	0.4	VULGAR FRACTION TWO FIFTHS
U+2157	⅗	No	None	None	0.6	VULGAR FRACTION THREE FIFTHS
U+2158	⅘	No	None	None	0.8	VULGAR FRACTION FOUR FIFTHS
U+2159	⅙	No	None	None	0.16666666666666666	VULGAR FRACTION ONE SIXTH
U+215A	⅚	No	None	None	0.8333333333333334	VULGAR FRACTION FIVE SIXTHS
U+215B	⅛	No	None	None	0.125	VULGAR FRACTION ONE EIGHTH
U+215C	⅜	No	None	None	0.375	VULGAR FRACTION THREE EIGHTHS
U+215D	⅝	No	None	None	0.625	VULGAR FRACTION FIVE EIGHTHS
U+215E	⅞	No	None	None	0.875	VULGAR FRACTION SEVEN EIGHTHS
U+215F	⅟	No	None	None	1.0	FRACTION NUMERATOR ONE
U+2160	Ⅰ	Nl	None	None	1.0	ROMAN NUMERAL ONE
U+2161	Ⅱ	Nl	None	None	2.0	ROMAN NUMERAL TWO
U+2162	Ⅲ	Nl	None	None	3.0	ROMAN NUMERAL THREE
U+2163	Ⅳ	Nl	None	None	4.0	ROMAN NUMERAL FOUR
U+2164	Ⅴ	Nl	None	None	5.0	ROMAN NUMERAL FIVE
U+2165	Ⅵ	Nl	None	None	6.0	ROMAN NUMERAL SIX
U+2166	Ⅶ	Nl	None	None	7.0	ROMAN NUMERAL SEVEN
U+2167	Ⅷ	Nl	None	None	8.0	ROMAN NUMERAL EIGHT
U+2168	Ⅸ	Nl	None	None	9.0	ROMAN NUMERAL NINE
U+2169	Ⅹ	Nl	None	None	10.0	ROMAN NUMERAL TEN
U+216A	Ⅺ	Nl	None	None	11.0	ROMAN NUMERAL ELEVEN
U+216B	Ⅻ	Nl	None	None	12.0	ROMAN NUMERAL TWELVE
U+216C	Ⅼ	Nl	None	None	50.0	ROMAN NUMERAL FIFTY
U+216D	Ⅽ	Nl	None	None	100.0	ROMAN NUMERAL ONE HUNDRED
U+216E	Ⅾ	Nl	None	None	500.0	ROMAN NUMERAL FIVE HUNDRED
U+216F	Ⅿ	Nl	None	None	1000.0	ROMAN NUMERAL ONE THOUSAND
U+2170	ⅰ	Nl	None	None	1.0	SMALL ROMAN NUMERAL ONE
U+2171	ⅱ	Nl	None	None	2.0	SMALL ROMAN NUMERAL TWO
U+2172	ⅲ	Nl	None	None	3.0	SMALL ROMAN NUMERAL THREE
U+2173	ⅳ	Nl	None	None	4.0	SMALL ROMAN NUMERAL FOUR
U+2174	ⅴ	Nl	None	None	5.0	SMALL ROMAN NUMERAL FIVE
U+2175	ⅵ	Nl	None	None	6.0	SMALL ROMAN NUMERAL SIX
U+2176	ⅶ	Nl	None	None	7.0	SMALL ROMAN NUMERAL SEVEN
U+2177	ⅷ	Nl	None	None	8.0	SMALL ROMAN NUMERAL EIGHT
U+2178	ⅸ	Nl	None	None	9.0	SMALL ROMAN NUMERAL NINE
U+2179	ⅹ	Nl	None	None	10.0	SMALL ROMAN NUMERAL TEN
U+217A	ⅺ	Nl	None	None	11.0	SMALL ROMAN NUMERAL ELEVEN
U+217B	ⅻ	Nl	None	None	12.0	SMALL ROMAN NUMERAL TWELVE
U+217C	ⅼ	Nl	None	None	50.0	SMALL ROMAN NUMERAL FIFTY
U+217D	ⅽ	Nl	None	None	100.0	SMALL ROMAN NUMERAL ONE HUNDRED
U+217E	ⅾ	Nl	None	None	500.0	SMALL ROMAN NUMERAL FIVE HUNDRED
U+217F	ⅿ	Nl	None	None	1000.0	SMALL ROMAN NUMERAL ONE THOUSAND
U+2180	ↀ	Nl	None	None	1000.0	ROMAN NUMERAL ONE THOUSAND C D
U+2181	ↁ	Nl	None	None	5000.0	ROMAN NUMERAL FIVE THOUSAND
U+2182	ↂ	Nl	None	None	10000.0	ROMAN NUMERAL TEN THOUSAND
U+2185	ↅ	Nl	None	None	6.0	ROMAN NUMERAL SIX LATE FORM
U+2186	ↆ	Nl	None	None	50.0	ROMAN NUMERAL FIFTY EARLY FORM
U+2187	ↇ	Nl	None	None	50000.0	ROMAN NUMERAL FIFTY THOUSAND
U+2188	ↈ	Nl	None	None	100000.0	ROMAN NUMERAL ONE HUNDRED THOUSAND
U+2189	↉	No	None	None	0.0	VULGAR FRACTION ZERO THIRDS
U+2460	①	No	None	1	1.0	CIRCLED DIGIT ONE
U+2461	②	No	None	2	2.0	CIRCLED DIGIT TWO
U+2462	③	No	None	3	3.0	CIRCLED DIGIT THREE
U+2463	④	No	None	4	4.0	CIRCLED DIGIT FOUR
U+2464	⑤	No	None	5	5.0	CIRCLED DIGIT FIVE
U+2465	⑥	No	None	6	6.0	CIRCLED DIGIT SIX
U+2466	⑦	No	None	7	7.0	CIRCLED DIGIT SEVEN
U+2467	⑧	No	None	8	8.0	CIRCLED DIGIT EIGHT
U+2468	⑨	No	None	9	9.0	CIRCLED DIGIT NINE
U+2469	⑩	No	None	None	10.0	CIRCLED NUMBER TEN
U+246A	⑪	No	None	None	11.0	CIRCLED NUMBER ELEVEN
U+246B	⑫	No	None	None	12.0	CIRCLED NUMBER TWELVE
U+246C	⑬	No	None	None	13.0	CIRCLED NUMBER THIRTEEN
U+246D	⑭	No	None	None	14.0	CIRCLED NUMBER FOURTEEN
U+246E	⑮	No	None	None	15.0	CIRCLED NUMBER FIFTEEN
U+246F	⑯	No	None	None	16.0	CIRCLED NUMBER SIXTEEN
U+2470	⑰	No	None	None	17.0	CIRCLED NUMBER SEVENTEEN
U+2471	⑱	No	None	None	18.0	CIRCLED NUMBER EIGHTEEN
U+2472	⑲	No	None	None	19.0	CIRCLED NUMBER NINETEEN
U+2473	⑳	No	None	None	20.0	CIRCLED NUMBER TWENTY
U+2474	⑴	No	None	1	1.0	PARENTHESIZED DIGIT ONE
U+2475	⑵	No	None	2	2.0	PARENTHESIZED DIGIT TWO
U+2476	⑶	No	None	3	3.0	PARENTHESIZED DIGIT THREE
U+2477	⑷	No	None	4	4.0	PARENTHESIZED DIGIT FOUR
U+2478	⑸	No	None	5	5.0	PARENTHESIZED DIGIT FIVE
U+2479	⑹	No	None	6	6.0	PARENTHESIZED DIGIT SIX
U+247A	⑺	No	None	7	7.0	PARENTHESIZED DIGIT SEVEN
U+247B	⑻	No	None	8	8.0	PARENTHESIZED DIGIT EIGHT
U+247C	⑼	No	None	9	9.0	PARENTHESIZED DIGIT NINE
U+247D	⑽	No	None	None	10.0	PARENTHESIZED NUMBER TEN
U+247E	⑾	No	None	None	11.0	PARENTHESIZED NUMBER ELEVEN
U+247F	⑿	No	None	None	12.0	PARENTHESIZED NUMBER TWELVE
U+2480	⒀	No	None	None	13.0	PARENTHESIZED NUMBER THIRTEEN
U+2481	⒁	No	None	None	14.0	PARENTHESIZED NUMBER FOURTEEN
U+2482	⒂	No	None	None	15.0	PARENTHESIZED NUMBER FIFTEEN
U+2483	⒃	No	None	None	16.0	PARENTHESIZED NUMBER SIXTEEN
U+2484	⒄	No	None	None	17.0	PARENTHESIZED NUMBER SEVENTEEN
U+2485	⒅	No	None	None	18.0	PARENTHESIZED NUMBER EIGHTEEN
U+2486	⒆	No	None	None	19.0	PARENTHESIZED NUMBER NINETEEN
U+2487	⒇	No	None	None	20.0	PARENTHESIZED NUMBER TWENTY
U+2488	⒈	No	None	1	1.0	DIGIT ONE FULL STOP
U+2489	⒉	No	None	2	2.0	DIGIT TWO FULL STOP
U+248A	⒊	No	None	3	3.0	DIGIT THREE FULL STOP
U+248B	⒋	No	None	4	4.0	DIGIT FOUR FULL STOP
U+248C	⒌	No	None	5	5.0	DIGIT FIVE FULL STOP
U+248D	⒍	No	None	6	6.0	DIGIT SIX FULL STOP
U+248E	⒎	No	None	7	7.0	DIGIT SEVEN FULL STOP
U+248F	⒏	No	None	8	8.0	DIGIT EIGHT FULL STOP
U+2490	⒐	No	None	9	9.0	DIGIT NINE FULL STOP
U+2491	⒑	No	None	None	10.0	NUMBER TEN FULL STOP
U+2492	⒒	No	None	None	11.0	NUMBER ELEVEN FULL STOP
U+2493	⒓	No	None	None	12.0	NUMBER TWELVE FULL STOP
U+2494	⒔	No	None	None	13.0	NUMBER THIRTEEN FULL STOP
U+2495	⒕	No	None	None	14.0	NUMBER FOURTEEN FULL STOP
U+2496	⒖	No	None	None	15.0	NUMBER FIFTEEN FULL STOP
U+2497	⒗	No	None	None	16.0	NUMBER SIXTEEN FULL STOP
U+2498	⒘	No	None	None	17.0	NUMBER SEVENTEEN FULL STOP
U+2499	⒙	No	None	None	18.0	NUMBER EIGHTEEN FULL STOP
U+249A	⒚	No	None	None	19.0	NUMBER NINETEEN FULL STOP
U+249B	⒛	No	None	None	20.0	NUMBER TWENTY FULL STOP
U+24EA	⓪	No	None	0	0.0	CIRCLED DIGIT ZERO
U+24EB	⓫	No	None	None	11.0	NEGATIVE CIRCLED NUMBER ELEVEN
U+24EC	⓬	No	None	None	12.0	NEGATIVE CIRCLED NUMBER TWELVE
U+24ED	⓭	No	None	None	13.0	NEGATIVE CIRCLED NUMBER THIRTEEN
U+24EE	⓮	No	None	None	14.0	NEGATIVE CIRCLED NUMBER FOURTEEN
U+24EF	⓯	No	None	None	15.0	NEGATIVE CIRCLED NUMBER FIFTEEN
U+24F0	⓰	No	None	None	16.0	NEGATIVE CIRCLED NUMBER SIXTEEN
U+24F1	⓱	No	None	None	17.0	NEGATIVE CIRCLED NUMBER SEVENTEEN
U+24F2	⓲	No	None	None	18.0	NEGATIVE CIRCLED NUMBER EIGHTEEN
U+24F3	⓳	No	None	None	19.0	NEGATIVE CIRCLED NUMBER NINETEEN
U+24F4	⓴	No	None	None	20.0	NEGATIVE CIRCLED NUMBER TWENTY
U+24F5	⓵	No	None	1	1.0	DOUBLE CIRCLED DIGIT ONE
U+24F6	⓶	No	None	2	2.0	DOUBLE CIRCLED DIGIT TWO
U+24F7	⓷	No	None	3	3.0	DOUBLE CIRCLED DIGIT THREE
U+24F8	⓸	No	None	4	4.0	DOUBLE CIRCLED DIGIT FOUR
U+24F9	⓹	No	None	5	5.0	DOUBLE CIRCLED DIGIT FIVE
U+24FA	⓺	No	None	6	6.0	DOUBLE CIRCLED DIGIT SIX
U+24FB	⓻	No	None	7	7.0	DOUBLE CIRCLED DIGIT SEVEN
U+24FC	⓼	No	None	8	8.0	DOUBLE CIRCLED DIGIT EIGHT
U+24FD	⓽	No	None	9	9.0	DOUBLE CIRCLED DIGIT NINE
U+24FE	⓾	No	None	None	10.0	DOUBLE CIRCLED NUMBER TEN
U+24FF	⓿	No	None	0	0.0	NEGATIVE CIRCLED DIGIT ZERO
U+2776	❶	No	None	1	1.0	DINGBAT NEGATIVE CIRCLED DIGIT ONE
U+2777	❷	No	None	2	2.0	DINGBAT NEGATIVE CIRCLED DIGIT TWO
U+2778	❸	No	None	3	3.0	DINGBAT NEGATIVE CIRCLED DIGIT THREE
U+2779	❹	No	None	4	4.0	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
U+277A	❺	No	None	5	5.0	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
U+277B	❻	No	None	6	6.0	DINGBAT NEGATIVE CIRCLED DIGIT SIX
U+277C	❼	No	None	7	7.0	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
U+277D	❽	No	None	8	8.0	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
U+277E	❾	No	None	9	9.0	DINGBAT NEGATIVE CIRCLED DIGIT NINE
U+277F	❿	No	None	None	10.0	DINGBAT NEGATIVE CIRCLED NUMBER TEN
U+2780	➀	No	None	1	1.0	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
U+2781	➁	No	None	2	2.0	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
U+2782	➂	No	None	3	3.0	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
U+2783	➃	No	None	4	4.0	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
U+2784	➄	No	None	5	5.0	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
U+2785	➅	No	None	6	6.0	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
U+2786	➆	No	None	7	7.0	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
U+2787	➇	No	None	8	8.0	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
U+2788	➈	No	None	9	9.0	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
U+2789	➉	No	None	None	10.0	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
U+278A	➊	No	None	1	1.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
U+278B	➋	No	None	2	2.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
U+278C	➌	No	None	3	3.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
U+278D	➍	No	None	4	4.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
U+278E	➎	No	None	5	5.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
U+278F	➏	No	None	6	6.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
U+2790	➐	No	None	7	7.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
U+2791	➑	No	None	8	8.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
U+2792	➒	No	None	9	9.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
U+2793	➓	No	None	None	10.0	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
U+2CFD	⳽	No	None	None	0.5	COPTIC FRACTION ONE HALF
U+3007	〇	Nl	None	None	0.0	IDEOGRAPHIC NUMBER ZERO
U+3021	〡	Nl	None	None	1.0	HANGZHOU NUMERAL ONE
U+3022	〢	Nl	None	None	2.0	HANGZHOU NUMERAL TWO
U+3023	〣	Nl	None	None	3.0	HANGZHOU NUMERAL THREE
U+3024	〤	Nl	None	None	4.0	HANGZHOU NUMERAL FOUR
U+3025	〥	Nl	None	None	5.0	HANGZHOU NUMERAL FIVE
U+3026	〦	Nl	None	None	6.0	HANGZHOU NUMERAL SIX
U+3027	〧	Nl	None	None	7.0	HANGZHOU NUMERAL SEVEN
U+3028	〨	Nl	None	None	8.0	HANGZHOU NUMERAL EIGHT
U+3029	〩	Nl	None	None	9.0	HANGZHOU NUMERAL NINE
U+3038	〸	Nl	None	None	10.0	HANGZHOU NUMERAL TEN
U+3039	〹	Nl	None	None	20.0	HANGZHOU NUMERAL TWENTY
U+303A	〺	Nl	None	None	30.0	HANGZHOU NUMERAL THIRTY
U+3192	㆒	No	None	None	1.0	IDEOGRAPHIC ANNOTATION ONE MARK
U+3193	㆓	No	None	None	2.0	IDEOGRAPHIC ANNOTATION TWO MARK
U+3194	㆔	No	None	None	3.0	IDEOGRAPHIC ANNOTATION THREE MARK
U+3195	㆕	No	None	None	4.0	IDEOGRAPHIC ANNOTATION FOUR MARK
U+3220	㈠	No	None	None	1.0	PARENTHESIZED IDEOGRAPH ONE
U+3221	㈡	No	None	None	2.0	PARENTHESIZED IDEOGRAPH TWO
U+3222	㈢	No	None	None	3.0	PARENTHESIZED IDEOGRAPH THREE
U+3223	㈣	No	None	None	4.0	PARENTHESIZED IDEOGRAPH FOUR
U+3224	㈤	No	None	None	5.0	PARENTHESIZED IDEOGRAPH FIVE
U+3225	㈥	No	None	None	6.0	PARENTHESIZED IDEOGRAPH SIX
U+3226	㈦	No	None	None	7.0	PARENTHESIZED IDEOGRAPH SEVEN
U+3227	㈧	No	None	None	8.0	PARENTHESIZED IDEOGRAPH EIGHT
U+3228	㈨	No	None	None	9.0	PARENTHESIZED IDEOGRAPH NINE
U+3229	㈩	No	None	None	10.0	PARENTHESIZED IDEOGRAPH TEN
U+3248	㉈	No	None	None	10.0	CIRCLED NUMBER TEN ON BLACK SQUARE
U+3249	㉉	No	None	None	20.0	CIRCLED NUMBER TWENTY ON BLACK SQUARE
U+324A	㉊	No	None	None	30.0	CIRCLED NUMBER THIRTY ON BLACK SQUARE
U+324B	㉋	No	None	None	40.0	CIRCLED NUMBER FORTY ON BLACK SQUARE
U+324C	㉌	No	None	None	50.0	CIRCLED NUMBER FIFTY ON BLACK SQUARE
U+324D	㉍	No	None	None	60.0	CIRCLED NUMBER SIXTY ON BLACK SQUARE
U+324E	㉎	No	None	None	70.0	CIRCLED NUMBER SEVENTY ON BLACK SQUARE
U+324F	㉏	No	None	None	80.0	CIRCLED NUMBER EIGHTY ON BLACK SQUARE
U+3251	㉑	No	None	None	21.0	CIRCLED NUMBER TWENTY ONE
U+3252	㉒	No	None	None	22.0	CIRCLED NUMBER TWENTY TWO
U+3253	㉓	No	None	None	23.0	CIRCLED NUMBER TWENTY THREE
U+3254	㉔	No	None	None	24.0	CIRCLED NUMBER TWENTY FOUR
U+3255	㉕	No	None	None	25.0	CIRCLED NUMBER TWENTY FIVE
U+3256	㉖	No	None	None	26.0	CIRCLED NUMBER TWENTY SIX
U+3257	㉗	No	None	None	27.0	CIRCLED NUMBER TWENTY SEVEN
U+3258	㉘	No	None	None	28.0	CIRCLED NUMBER TWENTY EIGHT
U+3259	㉙	No	None	None	29.0	CIRCLED NUMBER TWENTY NINE
U+325A	㉚	No	None	None	30.0	CIRCLED NUMBER THIRTY
U+325B	㉛	No	None	None	31.0	CIRCLED NUMBER THIRTY ONE
U+325C	㉜	No	None	None	32.0	CIRCLED NUMBER THIRTY TWO
U+325D	㉝	No	None	None	33.0	CIRCLED NUMBER THIRTY THREE
U+325E	㉞	No	None	None	34.0	CIRCLED NUMBER THIRTY FOUR
U+325F	㉟	No	None	None	35.0	CIRCLED NUMBER THIRTY FIVE
U+3280	㊀	No	None	None	1.0	CIRCLED IDEOGRAPH ONE
U+3281	㊁	No	None	None	2.0	CIRCLED IDEOGRAPH TWO
U+3282	㊂	No	None	None	3.0	CIRCLED IDEOGRAPH THREE
U+3283	㊃	No	None	None	4.0	CIRCLED IDEOGRAPH FOUR
U+3284	㊄	No	None	None	5.0	CIRCLED IDEOGRAPH FIVE
U+3285	㊅	No	None	None	6.0	CIRCLED IDEOGRAPH SIX
U+3286	㊆	No	None	None	7.0	CIRCLED IDEOGRAPH SEVEN
U+3287	㊇	No	None	None	8.0	CIRCLED IDEOGRAPH EIGHT
U+3288	㊈	No	None	None	9.0	CIRCLED IDEOGRAPH NINE
U+3289	㊉	No	None	None	10.0	CIRCLED IDEOGRAPH TEN
U+32B1	㊱	No	None	None	36.0	CIRCLED NUMBER THIRTY SIX
U+32B2	㊲	No	None	None	37.0	CIRCLED NUMBER THIRTY SEVEN
U+32B3	㊳	No	None	None	38.0	CIRCLED NUMBER THIRTY EIGHT
U+32B4	㊴	No	None	None	39.0	CIRCLED NUMBER THIRTY NINE
U+32B5	㊵	No	None	None	40.0	CIRCLED NUMBER FORTY
U+32B6	㊶	No	None	None	41.0	CIRCLED NUMBER FORTY ONE
U+32B7	㊷	No	None	None	42.0	CIRCLED NUMBER FORTY TWO
U+32B8	㊸	No	None	None	43.0	CIRCLED NUMBER FORTY THREE
U+32B9	㊹	No	None	None	44.0	CIRCLED NUMBER FORTY FOUR
U+32BA	㊺	No	None	None	45.0	CIRCLED NUMBER FORTY FIVE
U+32BB	㊻	No	None	None	46.0	CIRCLED NUMBER FORTY SIX
U+32BC	㊼	No	None	None	47.0	CIRCLED NUMBER FORTY SEVEN
U+32BD	㊽	No	None	None	48.0	CIRCLED NUMBER FORTY EIGHT
U+32BE	㊾	No	None	None	49.0	CIRCLED NUMBER FORTY NINE
U+32BF	㊿	No	None	None	50.0	CIRCLED NUMBER FIFTY
U+3405	㐅	Lo	None	None	5.0	CJK UNIFIED IDEOGRAPH-3405
U+3483	㒃	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-3483
U+382A	㠪	Lo	None	None	5.0	CJK UNIFIED IDEOGRAPH-382A
U+3B4D	㭍	Lo	None	None	7.0	CJK UNIFIED IDEOGRAPH-3B4D
U+4E00	一	Lo	None	None	1.0	CJK UNIFIED IDEOGRAPH-4E00
U+4E03	七	Lo	None	None	7.0	CJK UNIFIED IDEOGRAPH-4E03
U+4E07	万	Lo	None	None	10000.0	CJK UNIFIED IDEOGRAPH-4E07
U+4E09	三	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-4E09
U+4E5D	九	Lo	None	None	9.0	CJK UNIFIED IDEOGRAPH-4E5D
U+4E8C	二	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-4E8C
U+4E94	五	Lo	None	None	5.0	CJK UNIFIED IDEOGRAPH-4E94
U+4E96	亖	Lo	None	None	4.0	CJK UNIFIED IDEOGRAPH-4E96
U+4EBF	亿	Lo	None	None	100000000.0	CJK UNIFIED IDEOGRAPH-4EBF
U+4EC0	什	Lo	None	None	10.0	CJK UNIFIED IDEOGRAPH-4EC0
U+4EDF	仟	Lo	None	None	1000.0	CJK UNIFIED IDEOGRAPH-4EDF
U+4EE8	仨	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-4EE8
U+4F0D	伍	Lo	None	None	5.0	CJK UNIFIED IDEOGRAPH-4F0D
U+4F70	佰	Lo	None	None	100.0	CJK UNIFIED IDEOGRAPH-4F70
U+5104	億	Lo	None	None	100000000.0	CJK UNIFIED IDEOGRAPH-5104
U+5146	兆	Lo	None	None	1000000000000.0	CJK UNIFIED IDEOGRAPH-5146
U+5169	兩	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-5169
U+516B	八	Lo	None	None	8.0	CJK UNIFIED IDEOGRAPH-516B
U+516D	六	Lo	None	None	6.0	CJK UNIFIED IDEOGRAPH-516D
U+5341	十	Lo	None	None	10.0	CJK UNIFIED IDEOGRAPH-5341
U+5343	千	Lo	None	None	1000.0	CJK UNIFIED IDEOGRAPH-5343
U+5344	卄	Lo	None	None	20.0	CJK UNIFIED IDEOGRAPH-5344
U+5345	卅	Lo	None	None	30.0	CJK UNIFIED IDEOGRAPH-5345
U+534C	卌	Lo	None	None	40.0	CJK UNIFIED IDEOGRAPH-534C
U+53C1	叁	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-53C1
U+53C2	参	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-53C2
U+53C3	參	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-53C3
U+53C4	叄	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-53C4
U+56DB	四	Lo	None	None	4.0	CJK UNIFIED IDEOGRAPH-56DB
U+58F1	壱	Lo	None	None	1.0	CJK UNIFIED IDEOGRAPH-58F1
U+58F9	壹	Lo	None	None	1.0	CJK UNIFIED IDEOGRAPH-58F9
U+5E7A	幺	Lo	None	None	1.0	CJK UNIFIED IDEOGRAPH-5E7A
U+5EFE	廾	Lo	None	None	9.0	CJK UNIFIED IDEOGRAPH-5EFE
U+5EFF	廿	Lo	None	None	20.0	CJK UNIFIED IDEOGRAPH-5EFF
U+5F0C	弌	Lo	None	None	1.0	CJK UNIFIED IDEOGRAPH-5F0C
U+5F0D	弍	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-5F0D
U+5F0E	弎	Lo	None	None	3.0	CJK UNIFIED IDEOGRAPH-5F0E
U+5F10	弐	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-5F10
U+62FE	拾	Lo	None	None	10.0	CJK UNIFIED IDEOGRAPH-62FE
U+634C	捌	Lo	None	None	8.0	CJK UNIFIED IDEOGRAPH-634C
U+67D2	柒	Lo	None	None	7.0	CJK UNIFIED IDEOGRAPH-67D2
U+6F06	漆	Lo	None	None	7.0	CJK UNIFIED IDEOGRAPH-6F06
U+7396	玖	Lo	None	None	9.0	CJK UNIFIED IDEOGRAPH-7396
U+767E	百	Lo	None	None	100.0	CJK UNIFIED IDEOGRAPH-767E
U+8086	肆	Lo	None	None	4.0	CJK UNIFIED IDEOGRAPH-8086
U+842C	萬	Lo	None	None	10000.0	CJK UNIFIED IDEOGRAPH-842C
U+8CAE	貮	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-8CAE
U+8CB3	貳	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-8CB3
U+8D30	贰	Lo	None	None	2.0	CJK UNIFIED IDEOGRAPH-8D30
U+9621	阡	Lo	None	None	1000.0	CJK UNIFIED IDEOGRAPH-9621
U+9646	陆	Lo	None	None	6.0	CJK UNIFIED IDEOGRAPH-9646
U+964C	陌	Lo	None	None	100.0	CJK UNIFIED IDEOGRAPH-964C
U+9678	陸	Lo	None	None	6.0	CJK UNIFIED IDEOGRAPH-9678
U+96F6	零	Lo	None	None	0.0	CJK UNIFIED IDEOGRAPH-96F6
U+A620	꘠	Nd	0	0	0.0	VAI DIGIT ZERO
U+A621	꘡	Nd	1	1	1.0	VAI DIGIT ONE
U+A622	꘢	Nd	2	2	2.0	VAI DIGIT TWO
U+A623	꘣	Nd	3	3	3.0	VAI DIGIT THREE
U+A624	꘤	Nd	4	4	4.0	VAI DIGIT FOUR
U+A625	꘥	Nd	5	5	5.0	VAI DIGIT FIVE
