hex	char	cat	decimal	digit	numeric	name
U+0AE8	૨	Nd	2	2	2.0	GUJARATI DIGIT TWO
U+0AE9	૩	Nd	3	3	3.0	GUJARATI DIGIT THREE
U+0AEA	૪	Nd	4	4	4.0	GUJARATI DIGIT FOUR
U+0AEB	૫	Nd	5	5	5.0	GUJARATI DIGIT FIVE
U+0AEC	૬	Nd	6	6	6.0	GUJARATI DIGIT SIX
U+0AED	૭	Nd	7	7	7.0	GUJARATI DIGIT SEVEN
U+0AEE	૮	Nd	8	8	8.0	GUJARATI DIGIT EIGHT
U+0AEF	૯	Nd	9	9	9.0	GUJARATI DIGIT NINE
U+0B66	୦	Nd	0	0	0.0	ORIYA DIGIT ZERO
U+0B67	୧	Nd	1	1	1.0	ORIYA DIGIT ONE
U+0B68	୨	Nd	2	2	2.0	ORIYA DIGIT TWO
U+0B69	୩	Nd	3	3	3.0	ORIYA DIGIT THREE
U+0B6A	୪	Nd	4	4	4.0	ORIYA DIGIT FOUR
U+0B6B	୫	Nd	5	5	5.0	ORIYA DIGIT FIVE
U+0B6C	୬	Nd	6	6	6.0	ORIYA DIGIT SIX
U+0B6D	୭	Nd	7	7	7.0	ORIYA DIGIT SEVEN
U+0B6E	୮	Nd	8	8	8.0	ORIYA DIGIT EIGHT
U+0B6F	୯	Nd	9	9	9.0	ORIYA DIGIT NINE
U+0B72	୲	No	None	None	0.25	ORIYA FRACTION ONE QUARTER
U+0B73	୳	No	None	None	0.5	ORIYA FRACTION ONE HALF
U+0B74	୴	No	None	None	0.75	ORIYA FRACTION THREE QUARTERS
U+0B75	୵	No	None	None	0.0625	ORIYA FRACTION ONE SIXTEENTH
U+0B76	୶	No	None	None	0.125	ORIYA FRACTION ONE EIGHTH
U+0B77	୷	No	None	None	0.1875	ORIYA FRACTION THREE SIXTEENTHS
U+0BE6	௦	Nd	0	0	0.0	TAMIL DIGIT ZERO
U+0BE7	௧	Nd	1	1	1.0	TAMIL DIGIT ONE
U+0BE8	௨	Nd	2	2	2.0	TAMIL DIGIT TWO
U+0BE9	௩	Nd	3	3	3.0	TAMIL DIGIT THREE
U+0BEA	௪	Nd	4	4	4.0	TAMIL DIGIT FOUR
U+0BEB	௫	Nd	5	5	5.0	TAMIL DIGIT FIVE
U+0BEC	௬	Nd	6	6	6.0	TAMIL DIGIT SIX
U+0BED	௭	Nd	7	7	7.0	TAMIL DIGIT SEVEN
U+0BEE	௮	Nd	8	8	8.0	TAMIL DIGIT EIGHT
U+0BEF	௯	Nd	9	9	9.0	TAMIL DIGIT NINE
U+0BF0	௰	No	None	None	10.0	TAMIL NUMBER TEN
U+0BF1	௱	No	None	None	100.0	TAMIL NUMBER ONE HUNDRED
U+0BF2	௲	No	None	None	1000.0	TAMIL NUMBER ONE THOUSAND
U+0C66	౦	Nd	0	0	0.0	TELUGU DIGIT ZERO
U+0C67	౧	Nd	1	1	1.0	TELUGU DIGIT ONE
U+0C68	౨	Nd	2	2	2.0	TELUGU DIGIT TWO
U+0C69	౩	Nd	3	3	3.0	TELUGU DIGIT THREE
U+0C6A	౪	Nd	4	4	4.0	TELUGU DIGIT FOUR
U+0C6B	౫	Nd	5	5	5.0	TELUGU DIGIT FIVE
U+0C6C	౬	Nd	6	6	6.0	TELUGU DIGIT SIX
U+0C6D	౭	Nd	7	7	7.0	TELUGU DIGIT SEVEN
U+0C6E	౮	Nd	8	8	8.0	TELUGU DIGIT EIGHT
U+0C6F	౯	Nd	9	9	9.0	TELUGU DIGIT NINE
U+0C78	౸	No	None	None	0.0	TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF FOUR
U+0C79	౹	No	None	None	1.0	TELUGU FRACTION DIGIT ONE FOR ODD POWERS OF FOUR
U+0C7A	౺	No	None	None	2.0	TELUGU FRACTION DIGIT TWO FOR ODD POWERS OF FOUR
U+0C7B	౻	No	None	None	3.0	TELUGU FRACTION DIGIT THREE FOR ODD POWERS OF FOUR
U+0C7C	౼	No	None	None	1.0	TELUGU FRACTION DIGIT ONE FOR EVEN POWERS OF FOUR
U+0C7D	౽	No	None	None	2.0	TELUGU FRACTION DIGIT TWO FOR EVEN POWERS OF FOUR
U+0C7E	౾	No	None	None	3.0	TELUGU FRACTION DIGIT THREE FOR EVEN POWERS OF FOUR
U+0CE6	೦	Nd	0	0	0.0	KANNADA DIGIT ZERO
U+0CE7	೧	Nd	1	1	1.0	KANNADA DIGIT ONE
U+0CE8	೨	Nd	2	2	2.0	KANNADA DIGIT TWO
U+0CE9	೩	Nd	3	3	3.0	KANNADA DIGIT THREE
U+0CEA	೪	Nd	4	4	4.0	KANNADA DIGIT FOUR
U+0CEB	೫	Nd	5	5	5.0	KANNADA DIGIT FIVE
U+0CEC	೬	Nd	6	6	6.0	KANNADA DIGIT SIX
U+0CED	೭	Nd	7	7	7.0	KANNADA DIGIT SEVEN
U+0CEE	೮	Nd	8	8	8.0	KANNADA DIGIT EIGHT
U+0CEF	೯	Nd	9	9	9.0	KANNADA DIGIT NINE
U+0D58	൘	No	None	None	0.00625	MALAYALAM FRACTION ONE ONE-HUNDRED-AND-SIXTIETH
U+0D59	൙	No	None	None	0.025	MALAYALAM FRACTION ONE FORTIETH
U+0D5A	൚	No	None	None	0.0375	MALAYALAM FRACTION THREE EIGHTIETHS
U+0D5B	൛	No	None	None	0.05	MALAYALAM FRACTION ONE TWENTIETH
U+0D5C	൜	No	None	None	0.1	MALAYALAM FRACTION ONE TENTH
U+0D5D	൝	No	None	None	0.15	MALAYALAM FRACTION THREE TWENTIETHS
U+0D5E	൞	No	None	None	0.2	MALAYALAM FRACTION ONE FIFTH
U+0D66	൦	Nd	0	0	0.0	MALAYALAM DIGIT ZERO
U+0D67	൧	Nd	1	1	1.0	MALAYALAM DIGIT ONE
U+0D68	൨	Nd	2	2	2.0	MALAYALAM DIGIT TWO
U+0D69	൩	Nd	3	3	3.0	MALAYALAM DIGIT THREE
U+0D6A	൪	Nd	4	4	4.0	MALAYALAM DIGIT FOUR
U+0D6B	൫	Nd	5	5	5.0	MALAYALAM DIGIT FIVE
U+0D6C	൬	Nd	6	6	6.0	MALAYALAM DIGIT SIX
U+0D6D	൭	Nd	7	7	7.0	MALAYALAM DIGIT SEVEN
U+0D6E	൮	Nd	8	8	8.0	MALAYALAM DIGIT EIGHT
U+0D6F	൯	Nd	9	9	9.0	MALAYALAM DIGIT NINE
U+0D70	൰	No	None	None	10.0	MALAYALAM NUMBER TEN
U+0D71	൱	No	None	None	100.0	MALAYALAM NUMBER ONE HUNDRED
U+0D72	൲	No	None	None	1000.0	MALAYALAM NUMBER ONE THOUSAND
U+0D73	൳	No	None	None	0.25	MALAYALAM FRACTION ONE QUARTER
U+0D74	൴	No	None	None	0.5	MALAYALAM FRACTION ONE HALF
U+0D75	൵	No	None	None	0.75	MALAYALAM FRACTION THREE QUARTERS
U+0D76	൶	No	None	None	0.0625	MALAYALAM FRACTION ONE SIXTEENTH
U+0D77	൷	No	None	None	0.125	MALAYALAM FRACTION ONE EIGHTH
U+0D78	൸	No	None	None	0.1875	MALAYALAM FRACTION THREE SIXTEENTHS
U+0DE6	෦	Nd	0	0	0.0	SINHALA LITH DIGIT ZERO
U+0DE7	෧	Nd	1	1	1.0	SINHALA LITH DIGIT ONE
U+0DE8	෨	Nd	2	2	2.0	SINHALA LITH DIGIT TWO
U+0DE9	෩	Nd	3	3	3.0	SINHALA LITH DIGIT THREE
U+0DEA	෪	Nd	4	4	4.0	SINHALA LITH DIGIT FOUR
U+0DEB	෫	Nd	5	5	5.0	SINHALA LITH DIGIT FIVE
U+0DEC	෬	Nd	6	6	6.0	SINHALA LITH DIGIT SIX
U+0DED	෭	Nd	7	7	7.0	SINHALA LITH DIGIT SEVEN
U+0DEE	෮	Nd	8	8	8.0	SINHALA LITH DIGIT EIGHT
U+0DEF	෯	Nd	9	9	9.0	SINHALA LITH DIGIT NINE
U+0E50	๐	Nd	0	0	0.0	THAI DIGIT ZERO
U+0E51	๑	Nd	1	1	1.0	THAI DIGIT ONE
U+0E52	๒	Nd	2	2	2.0	THAI DIGIT TWO
U+0E53	๓	Nd	3	3	3.0	THAI DIGIT THREE
U+0E54	๔	Nd	4	4	4.0	THAI DIGIT FOUR
U+0E55	๕	Nd	5	5	5.0	THAI DIGIT FIVE
U+0E56	๖	Nd	6	6	6.0	THAI DIGIT SIX
U+0E57	๗	Nd	7	7	7.0	THAI DIGIT SEVEN
U+0E58	๘	Nd	8	8	8.0	THAI DIGIT EIGHT
U+0E59	๙	Nd	9	9	9.0	THAI DIGIT NINE
U+0ED0	໐	Nd	0	0	0.0	LAO DIGIT ZERO
U+0ED1	໑	Nd	1	1	1.0	LAO DIGIT ONE
U+0ED2	໒	Nd	2	2	2.0	LAO DIGIT TWO
U+0ED3	໓	Nd	3	3	3.0	LAO DIGIT THREE
U+0ED4	໔	Nd	4	4	4.0	LAO DIGIT FOUR
U+0ED5	໕	Nd	5	5	5.0	LAO DIGIT FIVE
U+0ED6	໖	Nd	6	6	6.0	LAO DIGIT SIX
U+0ED7	໗	Nd	7	7	7.0	LAO DIGIT SEVEN
U+0ED8	໘	Nd	8	8	8.0	LAO DIGIT EIGHT
U+0ED9	໙	Nd	9	9	9.0	LAO DIGIT NINE
U+0F20	༠	Nd	0	0	0.0	TIBETAN DIGIT ZERO
U+0F21	༡	Nd	1	1	1.0	TIBETAN DIGIT ONE
U+0F22	༢	Nd	2	2	2.0	TIBETAN DIGIT TWO
U+0F23	༣	Nd	3	3	3.0	TIBETAN DIGIT THREE
U+0F24	༤	Nd	4	4	4.0	TIBETAN DIGIT FOUR
U+0F25	༥	Nd	5	5	5.0	TIBETAN DIGIT FIVE
U+0F26	༦	Nd	6	6	6.0	TIBETAN DIGIT SIX
U+0F27	༧	Nd	7	7	7.0	TIBETAN DIGIT SEVEN
U+0F28	༨	Nd	8	8	8.0	TIBETAN DIGIT EIGHT
U+0F29	༩	Nd	9	9	9.0	TIBETAN DIGIT NINE
U+0F2A	༪	No	None	None	0.5	TIBETAN DIGIT HALF ONE
U+0F2B	༫	No	None	None	1.5	TIBETAN DIGIT HALF TWO
U+0F2C	༬	No	None	None	2.5	TIBETAN DIGIT HALF THREE
U+0F2D	༭	No	None	None	3.5	TIBETAN DIGIT HALF FOUR
U+0F2E	༮	No	None	None	4.5	TIBETAN DIGIT HALF FIVE
U+0F2F	༯	No	None	None	5.5	TIBETAN DIGIT HALF SIX
U+0F30	༰	No	None	None	6.5	TIBETAN DIGIT HALF SEVEN
U+0F31	༱	No	None	None	7.5	TIBETAN DIGIT HALF EIGHT
U+0F32	༲	No	None	None	8.5	TIBETAN DIGIT HALF NINE
U+0F33	༳	No	None	None	-0.5	TIBETAN DIGIT HALF ZERO
U+1040	၀	Nd	0	0	0.0	MYANMAR DIGIT ZERO
U+1041	၁	Nd	1	1	1.0	MYANMAR DIGIT ONE
U+1042	၂	Nd	2	2	2.0	MYANMAR DIGIT TWO
U+1043	၃	Nd	3	3	3.0	MYANMAR DIGIT THREE
U+1044	၄	Nd	4	4	4.0	MYANMAR DIGIT FOUR
U+1045	၅	Nd	5	5	5.0	MYANMAR DIGIT FIVE
U+1046	၆	Nd	6	6	6.0	MYANMAR DIGIT SIX
U+1047	၇	Nd	7	7	7.0	MYANMAR DIGIT SEVEN
U+1048	၈	Nd	8	8	8.0	MYANMAR DIGIT EIGHT
U+1049	၉	Nd	9	9	9.0	MYANMAR DIGIT NINE
U+1090	႐	Nd	0	0	0.0	MYANMAR SHAN DIGIT ZERO
U+1091	႑	Nd	1	1	1.0	MYANMAR SHAN DIGIT ONE
U+1092	႒	Nd	2	2	2.0	MYANMAR SHAN DIGIT TWO
U+1093	႓	Nd	3	3	3.0	MYANMAR SHAN DIGIT THREE
U+1094	႔	Nd	4	4	4.0	MYANMAR SHAN DIGIT FOUR
U+1095	႕	Nd	5	5	5.0	MYANMAR SHAN DIGIT FIVE
U+1096	႖	Nd	6	6	6.0	MYANMAR SHAN DIGIT SIX
U+1097	႗	Nd	7	7	7.0	MYANMAR SHAN DIGIT SEVEN
U+1098	႘	Nd	8	8	8.0	MYANMAR SHAN DIGIT EIGHT
U+1099	႙	Nd	9	9	9.0	MYANMAR SHAN DIGIT NINE
U+1369	፩	No	None	1	1.0	ETHIOPIC DIGIT ONE
U+136A	፪	No	None	2	2.0	ETHIOPIC DIGIT TWO
U+136B	፫	No	None	3	3.0	ETHIOPIC DIGIT THREE
U+136C	፬	No	None	4	4.0	ETHIOPIC DIGIT FOUR
U+136D	፭	No	None	5	5.0	ETHIOPIC DIGIT FIVE
U+136E	፮	No	None	6	6.0	ETHIOPIC DIGIT SIX
U+136F	፯	No	None	7	7.0	ETHIOPIC DIGIT SEVEN
U+1370	፰	No	None	8	8.0	ETHIOPIC DIGIT EIGHT
U+1371	፱	No	None	9	9.0	ETHIOPIC DIGIT NINE
U+1372	፲	No	None	None	10.0	ETHIOPIC NUMBER TEN
U+1373	፳	No	None	None	20.0	ETHIOPIC NUMBER TWENTY
U+1374	፴	No	None	None	30.0	ETHIOPIC NUMBER THIRTY
U+1375	፵	No	None	None	40.0	ETHIOPIC NUMBER FORTY
U+1376	፶	No	None	None	50.0	ETHIOPIC NUMBER FIFTY
U+1377	፷	No	None	None	60.0	ETHIOPIC NUMBER SIXTY
U+1378	፸	No	None	None	70.0	ETHIOPIC NUMBER SEVENTY
U+1379	፹	No	None	None	80.0	ETHIOPIC NUMBER EIGHTY
U+137A	፺	No	None	None	90.0	ETHIOPIC NUMBER NINETY
U+137B	፻	No	None	None	100.0	ETHIOPIC NUMBER HUNDRED
U+137C	፼	No	None	None	10000.0	ETHIOPIC NUMBER TEN THOUSAND
U+16EE	ᛮ	Nl	None	None	17.0	RUNIC ARLAUG SYMBOL
U+16EF	ᛯ	Nl	None	None	18.0	RUNIC TVIMADUR SYMBOL
U+16F0	ᛰ	Nl	None	None	19.0	RUNIC BELGTHOR SYMBOL
U+17E0	០	Nd	0	0	0.0	KHMER DIGIT ZERO
U+17E1	១	Nd	1	1	1.0	KHMER DIGIT ONE
U+17E2	២	Nd	2	2	2.0	KHMER DIGIT TWO
U+17E3	៣	Nd	3	3	3.0	KHMER DIGIT THREE
U+17E4	៤	Nd	4	4	4.0	KHMER DIGIT FOUR
U+17E5	៥	Nd	5	5	5.0	KHMER DIGIT FIVE
U+17E6	៦	Nd	6	6	6.0	KHMER DIGIT SIX
U+17E7	៧	Nd	7	7	7.0	KHMER DIGIT SEVEN
U+17E8	៨	Nd	8	8	8.0	KHMER DIGIT EIGHT
U+17E9	៩	Nd	9	9	9.0	KHMER DIGIT NINE
U+17F0	៰	No	None	None	0.0	KHMER SYMBOL LEK ATTAK SON
U+17F1	៱	No	None	None	1.0	KHMER SYMBOL LEK ATTAK MUOY
U+17F2	៲	No	None	None	2.0	KHMER SYMBOL LEK ATTAK PII
U+17F3	៳	No	None	None	3.0	KHMER SYMBOL LEK ATTAK BEI
U+17F4	៴	No	None	None	4.0	KHMER SYMBOL LEK ATTAK BUON
U+17F5	៵	No	None	None	5.0	KHMER SYMBOL LEK ATTAK PRAM
U+17F6	៶	No	None	None	6.0	KHMER SYMBOL LEK ATTAK PRAM-MUOY
U+17F7	៷	No	None	None	7.0	KHMER SYMBOL LEK ATTAK PRAM-PII
U+17F8	៸	No	None	None	8.0	KHMER SYMBOL LEK ATTAK PRAM-BEI
U+17F9	៹	No	None	None	9.0	KHMER SYMBOL LEK ATTAK PRAM-BUON
U+1810	᠐	Nd	0	0	0.0	MONGOLIAN DIGIT ZERO
U+1811	᠑	Nd	1	1	1.0	MONGOLIAN DIGIT ONE
